City,Mos Eisley,1700,740
01/06/0280,19,36
02/06/0280,20,36
03/06/0280,20,37
04/06/0280,20,37
05/06/0280,21,37
06/06/0280,21,37
07/06/0280,21,37
08/06/0280,21,38
09/06/0280,22,38
10/06/0280,22,38
11/06/0280,22,38
12/06/0280,22,38
13/06/0280,23,38
14/06/0280,23,39
15/06/0280,23,39
16/06/0280,23,39
17/06/0280,23,39
18/06/0280,24,39
19/06/0280,24,39
20/06/0280,24,39
21/06/0280,25,39
22/06/0280,25,39
23/06/0280,25,39
24/06/0280,25,39
25/06/0280,25,40
26/06/0280,25,40
27/06/0280,25,40
28/06/0280,25,40
29/06/0280,26,40
30/06/0280,26,40
City,Jabba Palace,1400,300
01/06/0280,13,27
02/06/0280,13,27
03/06/0280,14,28
04/06/0280,14,28
05/06/0280,14,28
06/06/0280,15,29
07/06/0280,15,29
08/06/0280,15,29
09/06/0280,16,30
10/06/0280,16,30
11/06/0280,16,30
12/06/0280,16,30
13/06/0280,16,30
14/06/0280,16,30
15/06/0280,17,31
16/06/0280,17,31
17/06/0280,17,31
18/06/0280,17,31
19/06/0280,17,31
20/06/0280,17,32
21/06/0280,17,32
22/06/0280,18,32
23/06/0280,18,32
24/06/0280,18,33
25/06/0280,18,33
26/06/0280,18,33
27/06/0280,18,33
28/06/0280,19,33
29/06/0280,19,34
30/06/0280,19,34
City,Bestine,1174,611
01/06/0280,18,36
02/06/0280,18,37
03/06/0280,18,37
04/06/0280,18,37
05/06/0280,18,38
06/06/0280,19,38
07/06/0280,19,38
08/06/0280,19,38
09/06/0280,19,39
10/06/0280,20,39
11/06/0280,20,39
12/06/0280,20,39
13/06/0280,21,39
14/06/0280,21,40
15/06/0280,21,40
16/06/0280,21,40
17/06/0280,22,40
18/06/0280,22,40
19/06/0280,22,41
20/06/0280,22,41
21/06/0280,22,41
22/06/0280,23,41
23/06/0280,23,41
24/06/0280,23,41
25/06/0280,23,42
26/06/0280,23,42
27/06/0280,23,42
28/06/0280,24,42
29/06/0280,24,42
30/06/0280,24,42
City,Carnthout,1280,711
01/06/0280,17,34
02/06/0280,17,34
03/06/0280,17,35
04/06/0280,17,35
05/06/0280,18,35
06/06/0280,18,35
07/06/0280,18,36
08/06/0280,18,36
09/06/0280,19,36
10/06/0280,19,36
11/06/0280,19,37
12/06/0280,19,37
13/06/0280,20,37
14/06/0280,20,37
15/06/0280,20,38
16/06/0280,20,38
17/06/0280,20,38
18/06/0280,21,38
19/06/0280,21,39
20/06/0280,21,39
21/06/0280,21,39
22/06/0280,21,40
23/06/0280,22,40
24/06/0280,22,40
25/06/0280,22,40
26/06/0280,22,40
27/06/0280,23,41
28/06/0280,23,41
29/06/0280,23,41
30/06/0280,23,41
City,Mos Espa,762,97
01/06/0280,2,16
02/06/0280,2,16
03/06/0280,2,16
04/06/0280,3,16
05/06/0280,3,16
06/06/0280,3,16
07/06/0280,4,17
08/06/0280,4,17
09/06/0280,4,17
10/06/0280,5,17
11/06/0280,5,17
12/06/0280,5,17
13/06/0280,6,17
14/06/0280,6,18
15/06/0280,7,18
16/06/0280,7,18
17/06/0280,7,18
18/06/0280,7,18
19/06/0280,7,18
20/06/0280,7,19
21/06/0280,8,19
22/06/0280,8,19
23/06/0280,8,19
24/06/0280,8,19
25/06/0280,8,19
26/06/0280,8,19
27/06/0280,9,20
28/06/0280,9,20
29/06/0280,9,20
30/06/0280,9,20
